Aano_EGB05519	PHD SNF2_N Helicase_C
Crei_PNW83346	DDT PHD Bromodomain Bromodomain Bromodomain
Crei_PNW83512	PHD
Crei_PNW83574	RVT_1 RT_RNaseH Integrase_H2C2 PHD
Crei_PNW84549	PHD
Crei_PNW86656	AAA_34 AAA_34 PHD Helicase_C_4
Crei_PNW87655	PHD
Crei_PNW87693	Helitron_like_N Helitron_like_N PHD PIF1
Cscu_XP_023211120.1	PHD
Cscu_XP_023214009.1	PHD zf-CXXC zf-CpG_bind_C
Cscu_XP_023214122.1	PHD
Cscu_XP_023214497.1	PHD
Cscu_XP_023214748.1	PHD
Cscu_XP_023215571.1	EPL1 PHD_2 zf-HC5HC2H_2
Cscu_XP_023215582.1	EPL1 PHD_2 zf-HC5HC2H_2
Cscu_XP_023215887.1	PHD SET
Cscu_XP_023216599.1	zf-RING_2 PHD
Cscu_XP_023217549.1	PHD_2 zf-HC5HC2H_2
Cscu_XP_023218911.1	ING PHD
Cscu_XP_023219464.1	PHD PHD Bromodomain
Cscu_XP_023219465.1	DDT WHIM1 PHD WSD
Cscu_XP_023219466.1	DDT WHIM1 PHD WSD
Cscu_XP_023219606.1	PHD TFIIS_M SPOC
Cscu_XP_023220193.1	zf-CXXC PHD_4 F-box-like LRR_6
Cscu_XP_023223357.1	PHD
Cscu_XP_023223885.1	PHD
Cscu_XP_023224336.1	PHD zf-HC5HC2H_2 PHD PHD
Cscu_XP_023225799.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Cscu_XP_023225843.1	PHD PHD zf-MYST MOZ_SAS
Cscu_XP_023227518.1	PHD SAM_1
Cscu_XP_023227519.1	PHD SAM_1
Cscu_XP_023227522.1	PHD
Cscu_XP_023227536.1	PHD SAM_1
Cscu_XP_023228332.1	WHIM1 WSD WSD PHD PHD
Cscu_XP_023228335.1	WHIM1 WSD WSD PHD PHD
Cscu_XP_023228451.1	WHIM1 WSD PHD Bromodomain
Cscu_XP_023230026.1	PHD
Cscu_XP_023230232.1	JmjN JmjC JmjC zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2
Cscu_XP_023230315.1	PHD JmjC
Cscu_XP_023230679.1	ubiquitin TTD PHD SAD_SRA
Cscu_XP_023231252.1	PHD
Cscu_XP_023231791.1	PHD
Cscu_XP_023231792.1	PHD
Cscu_XP_023231793.1	PHD
Cscu_XP_023231794.1	PHD
Cscu_XP_023231796.1	PHD
Cscu_XP_023231797.1	PHD
Cscu_XP_023233588.1	JmjN ARID JmjC PLU-1 JmjC zf-C5HC2 PLU-1 PHD PHD PLU-1
Cscu_XP_023235774.1	THAP PHD SAM_1
Cscu_XP_023237336.1	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Cscu_XP_023238174.1	PHD
Cscu_XP_023239422.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Cscu_XP_023239808.1	PHD PHF12_MRG_bd PHD
Cscu_XP_023241753.1	ASXH PHD_3
Cscu_XP_023241987.1	Tudor_2 PHD
Cscu_XP_023242355.1	zf-CXXC PHD_4
Cscu_XP_023242838.1	Requiem_N PHD
Cscu_XP_023242839.1	Requiem_N PHD
Cscu_XP_023243257.1	PHD_2 zf-HC5HC2H_2
Cscu_XP_023243258.1	PHD_2 zf-HC5HC2H_2
Cscu_XP_023244110.1	Linker_histone PHD zf-MYST
Ctel_CapteP106026	zf-HC5HC2H PHD
Ctel_CapteP106029	PHD
Ctel_CapteP106550	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Ctel_CapteP129495	PHD_2 zf-HC5HC2H_2
Ctel_CapteP130729	PHD zf-HC5HC2H FYRN
Ctel_CapteP136717	PHD
Ctel_CapteP141183	PHD
Ctel_CapteP141690	PHD
Ctel_CapteP147496	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD
Ctel_CapteP153956	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Ctel_CapteP154557	PHD_2 zf-HC5HC2H_2
Ctel_CapteP166178	PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Ctel_CapteP167868	PHD SAM_1
Ctel_CapteP175820	PHD
Ctel_CapteP177579	PHD
Ctel_CapteP177878	PHD zf-CXXC zf-CpG_bind_C
Ctel_CapteP187445	PHD
Ctel_CapteP190746	DDT WHIM1 PHD
Ctel_CapteP19718	Requiem_N PHD
Ctel_CapteP202722	PHD
Ctel_CapteP206693	ALS2CR8 PHD
Ctel_CapteP216422	WAC_Acf1_DNA_bd WSD PHD Bromodomain
Ctel_CapteP218774	CHDNT PHD PHD Chromo SNF2_N
Ctel_CapteP219293	PHD
Ctel_CapteP219802	MBD DDT WSD PHD Bromodomain
Ctel_CapteP220123	PHD
Ctel_CapteP220581	PHD PHD Bromodomain
Ctel_CapteP220844	SNF2_N PHD Helicase_C
Ctel_CapteP221184	WAC_Acf1_DNA_bd DDT WHIM1 WSD PHD Bromodomain
Ctel_CapteP221977	ubiquitin TTD PHD SAD_SRA zf-C3HC4
Ctel_CapteP224752	Linker_histone PHD zf-MYST MOZ_SAS
Ctel_CapteP225697	PHD_2 zf-HC5HC2H_2
Ctel_CapteP225801	zf-HC5HC2H_2 PHD
Ctel_CapteP225898	PHD JmjC JHD
Ctel_CapteP226024	JmjC JHD zf-CXXC PHD_4 F-box
Ctel_CapteP227914	PHD
Ctel_CapteP228495	PHD PHF12_MRG_bd
Cvar_XP_005842674.1	PHD
Cvar_XP_005844434.1	PHD BAH AAA AAA_lid_10
Cvar_XP_005844552.1	MBD FYRC PHD WHIM1 WSD
Cvar_XP_005844680.1	PHD
Cvar_XP_005844937.1	SAWADEE PHD
Cvar_XP_005845364.1	PHD_2 zf-HC5HC2H_2
Cvar_XP_005845503.1	PHD_2 zf-HC5HC2H_2
Cvar_XP_005845979.1	Alfin PHD
Cvar_XP_005846031.1	PHD_2 zf-HC5HC2H_2
Cvar_XP_005846630.1	Myb_DNA-binding PHD
Cvar_XP_005846995.1	PHD
Cvar_XP_005847016.1	PHD_2 zf-HC5HC2H
Cvar_XP_005847630.1	PHD
Cvar_XP_005847744.1	PHD
Cvar_XP_005847892.1	FHA PHD
Cvar_XP_005849791.1	WAC_Acf1_DNA_bd PHD WSD
Cvar_XP_005849932.1	PHD
Cvar_XP_005850020.1	PHD
Cvar_XP_005850921.1	PHD
Cvar_XP_005851939.1	PHD
Cvel_10634.t1-p1	PHD
Cvel_12160.t1-p1	zf-rbx1 PHD
Cvel_14381.t1-p1	ING PHD
Cvel_15307.t1-p1	PHD
Cvel_17614.t1-p1	zf-RING_2 PHD PHD
Cvel_21481.t1-p1	PHD_2 zf-HC5HC2H_2
Cvel_22579.t1-p1	PHD SNF2_N Helicase_C
Cvel_23629.t1-p1	SAP PHD zf-MIZ
Cvel_25711.t1-p1	SNF2_N PHD SNF2_N zf-RING_2
Cvel_33672.t1-p1	PHD
Ddis_EAL61367	zf-UBR PHD
Ddis_EAL65544	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Ddis_EAL66073	HMG_box PHD
Ddis_EAL66215	PHD
Ddis_EAL68083	PHD TFIIS_M
Ddis_EAL68857	PHD PHD
Ddis_EAL72555	PHD
Ddis_EAS66936	PHD
Diprot_Gene.10911	JmjC zf-C5HC2 PLU-1 PHD
Diprot_Gene.15537	PHD zf-CpG_bind_C
Diprot_Gene.17300	PHD JmjC zf-C5HC2 PLU-1
Diprot_Gene.23513	PHD
Diprot_Gene.24555	PHD
Diprot_Gene.28645	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Diprot_Gene.28913	zf-HC5HC2H PHD zf-HC5HC2H SET
Diprot_Gene.30283	GATA PHD
Diprot_Gene.30975	PHD_2 zf-HC5HC2H_2 zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2
Diprot_Gene.31058	PHD WD40 WD40
Diprot_Gene.6753	PHD TFIIS_M
Dmel_FBpp0070864	PHD PHF12_MRG_bd
Dmel_FBpp0071262	PHD zf-CpG_bind_C
Dmel_FBpp0071263	PHD
Dmel_FBpp0072043	PHD PHD
Dmel_FBpp0072431	EPL1 PHD_2 zf-HC5HC2H_2
Dmel_FBpp0074766	PHD Chromo Chromo SNF2_N Helicase_C DUF1087
Dmel_FBpp0075510	PHD SET
Dmel_FBpp0077145	PHD zf-HC5HC2H_2 PHD PHD
Dmel_FBpp0078401	zf-RING_2 PHD
Dmel_FBpp0078862	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD PHD
Dmel_FBpp0082406	PHD FYRN FYRC SET
Dmel_FBpp0084433	PHD
Dmel_FBpp0085204	WAC_Acf1_DNA_bd WSD PHD Bromodomain
Dmel_FBpp0085418	Requiem_N PHD PHD
Dmel_FBpp0088092	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Dmel_FBpp0088179	Bromo_TP PHD
Dmel_FBpp0099808	CHDNT PHD PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Dmel_FBpp0111979	MBD DDT WHIM1 WSD WSD PHD PHD Bromodomain
Dmel_FBpp0289915	Cupin_8 zf-CXXC PHD_4 F-box-like LRR_6
Dmel_FBpp0290255	PHD
Dmel_FBpp0293286	PHD BRK TFIIS_M SPOC
Dmel_FBpp0303076	zf-B_box zf-B_box PHD Bromodomain
Dmel_FBpp0304412	DDT WHIM1 PHD PHD PHD Bromodomain
Dmel_FBpp0305149	ASXH PHD_3
Dmel_FBpp0306738	PHD_2 zf-HC5HC2H_2
Dpul_EFX62054	PHD PHD Bromodomain
Dpul_EFX64846	WAC_Acf1_DNA_bd DDT WHIM1 WSD PHD PHD Bromodomain
Dpul_EFX65623	DDT WHIM1 PHD WSD
Dpul_EFX65633	PHD
Dpul_EFX65710	PHD
Dpul_EFX66713	PHD zf-CpG_bind_C
Dpul_EFX67875	zf-RING_2 PHD
Dpul_EFX69009	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Dpul_EFX70030	EPL1 PHD_2 zf-HC5HC2H_2
Dpul_EFX71331	Requiem_N PHD
Dpul_EFX74330	ubiquitin TTD PHD SAD_SRA
Dpul_EFX75273	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Dpul_EFX77064	PHD
Dpul_EFX77123	PHD
Dpul_EFX77580	PHD
Dpul_EFX78955	Bromo_TP PHD
Dpul_EFX79629	PHD
Dpul_EFX80492	PHD
Dpul_EFX81495	PHD
Dpul_EFX81534	MBD DDT WSD PHD PHD Bromodomain
Dpul_EFX81863	PHD
Dpul_EFX82597	MBT MBD PHD
Dpul_EFX82823	PHD JmjC JHD
Dpul_EFX83215	PHD_2 zf-HC5HC2H_2
Dpul_EFX83722	PHD Mtf2_C
Dpul_EFX86531	PHD
Dpul_EFX88281	DDT WHIM1 PHD WSD PHD PHD Bromodomain
Dpul_EFX88795	PHD PHF12_MRG_bd
Dpul_EFX88995	ASXH PHD_3
Dpul_EFX89034	zf-HC5HC2H_2 PHD
Dpul_EFX89585	PHD_2 PHD
Dpul_EFX90415	PHD_2 zf-HC5HC2H_2
Dpul_EFX90416	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Dpul_EFX90460	AWS SET PHD BAH
Drer_ENSDARP00000003264.9	Requiem_N PHD
Drer_ENSDARP00000007140.7	PHD JmjC JHD
Drer_ENSDARP00000009763.7	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Drer_ENSDARP00000014581.6	PHD zf-MYST MOZ_SAS
Drer_ENSDARP00000014790.8	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Drer_ENSDARP00000018937.7	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Drer_ENSDARP00000019080.4	EPL1 PHD_2 zf-HC5HC2H_2
Drer_ENSDARP00000023794.9	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD
Drer_ENSDARP00000025140.8	zf-B_box zf-B_box PHD Bromodomain
Drer_ENSDARP00000032706.7	Requiem_N PHD
Drer_ENSDARP00000032784.6	PHD zf-CXXC zf-CpG_bind_C
Drer_ENSDARP00000042059.3	EPL1 PHD_2 zf-HC5HC2H_2
Drer_ENSDARP00000042480.5	PHD_2
Drer_ENSDARP00000045941.6	PHD JmjC JHD
Drer_ENSDARP00000050378.6	PHD JmjC JHD
Drer_ENSDARP00000054242.4	Requiem_N PHD
Drer_ENSDARP00000055589.5	SAND SAND PHD
Drer_ENSDARP00000066928.6	Bromo_TP PHD
Drer_ENSDARP00000067969.4	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Drer_ENSDARP00000069915.4	EPL1 PHD_2 zf-HC5HC2H_2
Drer_ENSDARP00000071629.3	WHIM1 PHD
Drer_ENSDARP00000082162.4	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Drer_ENSDARP00000086641.5	WAC_Acf1_DNA_bd DDT WHIM1 WSD PHD
Drer_ENSDARP00000091125.4	PHD TFIIS_M SPOC
Drer_ENSDARP00000093306.3	JmjC JHD zf-CXXC PHD_4 F-box
Drer_ENSDARP00000093339.3	PHD
Drer_ENSDARP00000095298.3	zf-CXXC PHD zf-HC5HC2H FYRN FYRC SET
Drer_ENSDARP00000097864.4	PHD TFIIS_M SPOC
Drer_ENSDARP00000098593.2	PHD PHF12_MRG_bd PHD
Drer_ENSDARP00000102656.5	DDT PHD WSD PHD PHD Bromodomain
Drer_ENSDARP00000104491.1	PHD JmjC JHD
Drer_ENSDARP00000106248.2	zf-B_box zf-B_box PHD
Drer_ENSDARP00000106610.3	PHD
Drer_ENSDARP00000108373.1	HSR SAND SAND PHD Bromodomain
Drer_ENSDARP00000110667.2	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Drer_ENSDARP00000111291.2	MBT Tudor_3 PHD
Drer_ENSDARP00000111640.2	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Drer_ENSDARP00000112275.2	PHD SET
Drer_ENSDARP00000114968.1	HSR PHD
Drer_ENSDARP00000115827.2	zf-HC5HC2H PHD PHD zf-HC5HC2H_2 FYRN FYRC SET
Drer_ENSDARP00000116871.2	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Drer_ENSDARP00000118843.1	Tudor_2 PHD Mtf2_C
Drer_ENSDARP00000119465.2	zf-B_box PHD Bromodomain
Drer_ENSDARP00000121943.1	HARE-HTH ASXH PHD_3
Drer_ENSDARP00000122949.2	zf-HC5HC2H PHD PHD zf-HC5HC2H FYRN FYRC SET
Drer_ENSDARP00000123759.1	zf-CXXC PHD zf-HC5HC2H FYRN FYRC SET
Drer_ENSDARP00000123992.1	PHD_2 zf-HC5HC2H_2
Drer_ENSDARP00000124629.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Drer_ENSDARP00000125217.1	zf-RING_2 PHD
Drer_ENSDARP00000126239.1	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Drer_ENSDARP00000127601.2	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Drer_ENSDARP00000128152.1	PHD Bromodomain
Drer_ENSDARP00000128370.1	PHD PHF12_MRG_bd PHD
Drer_ENSDARP00000130383.1	zf-RING_UBOX zf-B_box PHD Bromodomain
Drer_ENSDARP00000131255.2	PHD JmjC JHD
Drer_ENSDARP00000132286.1	PHD zf-CXXC zf-CpG_bind_C
Drer_ENSDARP00000132493.1	PHD
Drer_ENSDARP00000132502.1	WAC_Acf1_DNA_bd WHIM1 WSD PHD Bromodomain
Drer_ENSDARP00000132724.2	Tudor_2 PHD
Drer_ENSDARP00000132922.1	EPL1 PHD_2 zf-HC5HC2H_2 PWWP
Drer_ENSDARP00000133597.1	PHD_2
Drer_ENSDARP00000133704.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Drer_ENSDARP00000133766.1	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Drer_ENSDARP00000134050.1	JHD zf-CXXC PHD_4 F-box
Drer_ENSDARP00000134924.1	PHD JmjC zf-C5HC2 PLU-1 PHD
Drer_ENSDARP00000135054.1	ubiquitin TTD PHD SAD_SRA zf-C3HC4
Drer_ENSDARP00000135354.2	PHD_4 F-box
Drer_ENSDARP00000137534.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Drer_ENSDARP00000138124.1	HSR SAND SAND PHD
Drer_ENSDARP00000138238.1	Requiem_N PHD
Drer_ENSDARP00000138596.2	WAC_Acf1_DNA_bd WHIM1 WSD PHD Bromodomain
Drer_ENSDARP00000139219.1	MBD DDT WSD PHD Bromodomain
Drer_ENSDARP00000140246.1	PHD
Drer_ENSDARP00000141965.2	Requiem_N PHD
Drer_ENSDARP00000143778.1	PHD zf-HC5HC2H_2 PHD PHD
Drer_ENSDARP00000145227.1	JHD zf-CXXC PHD_4 F-box-like
Drer_ENSDARP00000147918.1	zf-CXXC PHD zf-HC5HC2H_2 FYRN FYRC SET
Drer_ENSDARP00000149231.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Drer_ENSDARP00000150128.1	PHD PWWP AWS SET C5HCH
Drer_ENSDARP00000150290.1	zf-CXXC PHD_4 F-box
Drer_ENSDARP00000150431.1	HARE-HTH ASXH PHD_3
Drer_ENSDARP00000150912.1	PHD
Drer_ENSDARP00000152130.1	PHD_2
Drer_ENSDARP00000152771.1	SAND SAND PHD
Drer_ENSDARP00000152825.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Drer_ENSDARP00000152873.1	JmjN JmjC JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Drer_ENSDARP00000153243.1	PHD
Drer_ENSDARP00000153738.1	EPL1 PHD_2 zf-HC5HC2H_2
Drer_ENSDARP00000155206.1	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Drer_ENSDARP00000155470.1	PHD zf-CXXC zf-CpG_bind_C zf-CpG_bind_C
Drer_ENSDARP00000155756.1	Tudor_2 PHD Mtf2_C
Drer_ENSDARP00000156378.1	JmjN JmjC JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Drer_ENSDARP00000156420.1	HARE-HTH ASXH PHD_3
Drer_ENSDARP00000156764.1	PHD PHF12_MRG_bd PHD
Drer_ENSDARP00000156841.1	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Ehux_EOD04122	PHD SNF2_N Helicase_C
Ehux_EOD05512	PHD
Ehux_EOD05517	PHD
Ehux_EOD05529	PHD
Ehux_EOD05560	PHD_2 zf-HC5HC2H_2
Ehux_EOD05763	PHD
Ehux_EOD07349	PHD PHD Agenet
Ehux_EOD07992	PHD_2 zf-HC5HC2H_2
Ehux_EOD08118	PUB PHD
Ehux_EOD08257	PHD
Ehux_EOD08350	PHD
Ehux_EOD09396	PHD zf-HC5HC2H_2
Ehux_EOD09468	PHD
Ehux_EOD12157	PHD
Ehux_EOD13783	PHD
Ehux_EOD14310	PHD
Ehux_EOD14931	PHD
Ehux_EOD15377	PHD
Ehux_EOD16051	PHD
Ehux_EOD17872	PHD
Ehux_EOD18762	VEFS-Box PHD
Ehux_EOD19074	PHD
Ehux_EOD20066	PHD
Ehux_EOD21209	PHD
Ehux_EOD21888	HAT_KAT11 PHD
Ehux_EOD22166	PHD
Ehux_EOD22348	PHD
Ehux_EOD23029	AP2 PHD
Ehux_EOD24352	DnaJ PHD
Ehux_EOD24690	PHD
Ehux_EOD26976	PHD
Ehux_EOD30953	zf-CXXC PHD
Ehux_EOD31487	PHD
Ehux_EOD32680	PHD
Ehux_EOD33152	PHD PHD Agenet
Ehux_EOD34220	PHD zf-CXXC
Ehux_EOD35150	PHD
Ehux_EOD35157	PHD
Ehux_EOD37625	PHD SNF2_N Helicase_C
Ehux_EOD37682	PHD
Ehux_EOD38018	VEFS-Box PHD
Ehux_EOD39339	PHD
Ehux_EOD39433	FHA PHD
Ehux_EOD39614	PHD
Ehux_EOD41736	PHD
Ehux_EOD41951	PHD PLU-1 PLU-1 PHD
Eimten_CDJ36991	PHD SNF2_N Helicase_C
Eimten_CDJ38091	PHD
Eimten_CDJ39772	PHD EELM2
Eimten_CDJ40218	PHD_2
Eimten_CDJ42913	zf-RING_2 PHD
Eimten_CDJ43066	PHD_2 zf-HC5HC2H_2
Eimten_CDJ43299	PHD
Eimten_CDJ45527	PHD
Emue_0001g106a	PHD JmjC JHD
Emue_0001g114a	PHD DUF3361 ELMO_CED12 PH_12
Emue_0001g235a	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Emue_0001g2416a	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Emue_0001g505a	PHD SET
Emue_0001g551a	Integrase_H2C2 Peptidase_C48 PHD
Emue_0001g564a	Integrase_H2C2 Peptidase_C48 PHD
Emue_0001g702a	RVT_1 RT_RNaseH_2 PHD UCH Peptidase_C48
Emue_0001g823a	Integrase_H2C2 rve PHD
Emue_0001g887a	Integrase_H2C2 rve Peptidase_C48 PHD
Emue_0001g898a	PHD
Emue_0002g20a	PHD
Emue_0003g1008a	zf-RING_2 PHD
Emue_0003g70a	PHD
Emue_0003g990a	PHD
Emue_0004g1646a	PHD_2 zf-HC5HC2H_2
Emue_0004g695a	Integrase_H2C2 rve Peptidase_C48 PHD
Emue_0005g138a	PHD zf-HC5HC2H FYRN FYRC SET
Emue_0005g1665a	PHD zf-CXXC zf-CpG_bind_C
Emue_0005g1676a	PHD
Emue_0005g167a	zf-CXXC PHD zf-HC5HC2H FYRN FYRC SET Ham1p_like
Emue_0005g169a	zf-CXXC PHD zf-HC5HC2H FYRN FYRC SET
Emue_0005g501a	PHD
Emue_0005g894a	PHD Bromodomain PWWP
Emue_0006g1557a	PHD
Emue_0007g1360a	WSD PHD Bromodomain
Emue_0008g1027a	PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Emue_0011g1017a	PHD
Emue_0011g1054a	ubiquitin TTD PHD SAD_SRA zf-C3HC4_2
Emue_0011g222a	Integrase_H2C2 rve PHD
Emue_0011g618a	Peptidase_C48 PHD
Emue_0013g496a	PHD
Emue_0015g1058a	SNF2_N PHD SNF2_N zf-C3HC4 Helicase_C
Emue_0015g308a	PHD zf-MYND
Emue_0015g666a	PHD
Emue_0016g1153a	PHD
Emue_0017g921a	PHD
Emue_0019g197a	WAC_Acf1_DNA_bd DDT WHIM1 WSD PHD Bromodomain
Emue_0019g347a	Mad3_BUB1_I Pkinase Requiem_N PHD
Emue_0021g830a	FUN14 PHD zf-HC5HC2H_2 PHD
Emue_0022g153a	PHD_2 zf-HC5HC2H_2
Emue_0022g492a	PHD zf-MYST MOZ_SAS
Emue_0024g304a	Integrase_H2C2 rve PHD
Emue_0024g316a	Integrase_H2C2 rve PHD
Emue_0028g67a	Peptidase_C48 PHD
Emue_0033g8a	Integrase_H2C2 PHD
Emue_0059g26a	PHD
Emue_0070g10a	RVT_1 PHD
Emue_0076g1a	PHD
Emue_0092g8a	Integrase_H2C2 rve PHD
Emue_0460g3a	PHD_2 zf-HC5HC2H_2
Emue_0617g5a	PHD
Emue_0645g5a	PHD
Emue_0655g3a	PHD_2 zf-HC5HC2H_2
Emul_CDI97249.1	PHD PHD
Emul_CDI97909.1	PHD PHD zf-MYST MOZ_SAS
Emul_CDI98164.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Emul_CDI98491.1	zf-RING_2 PHD
Emul_CDS35731.1	DUF3504 PHD SAM_1
Emul_CDS35827.1	PHD
Emul_CDS37276.1	JmjC PHD_2
Emul_CDS37873.1	FHA PHD
Emul_CDS39921.2	Requiem_N PHD
Emul_CDS40133.1	PHD zf-CXXC zf-CXXC
Emul_CDS40316.1	PHD
Emul_CDS40803.1	PHD
Emul_CDS41314.1	MBD PHD Bromodomain
Emul_CDS41631.1	PHD
Emul_CDS41871.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Emul_CDS42210.1	PHD_2 zf-HC5HC2H_2
Emul_CDS42634.1	JmjC zf-C5HC2 PLU-1 PHD
Emul_CDS42727.1	WAC_Acf1_DNA_bd WSD PHD PHD Bromodomain
Emul_CDS42843.1	zf-DBF PHD
Emul_CDS43116.1	PHD
Emul_CDS43129.1	PHD
Emul_CDS43399.1	DDT PHD PHD PHD
Esil_CBJ25830	PHD SET
Esil_CBJ26123	PLU-1 PLU-1 PLU-1 PLU-1 PHD PHD
Esil_CBJ26222	PHD
Esil_CBJ27328	Bromodomain PHD WHIM1
Esil_CBJ27936	Bromodomain PHD Chromo RVT_1 SNF2_N Helicase_C zf-HC5HC2H Bromodomain
Esil_CBJ28004	zf-RING_2 PHD
Esil_CBJ29155	PHD AT_hook AT_hook AT_hook AT_hook
Esil_CBJ29267	Bromodomain PHD
Esil_CBJ30035	PHD
Esil_CBJ30116	PHD zf-RanBP
Esil_CBJ30305	PHD PHD
Esil_CBJ30312	ResIII Helicase_C PHD_2 zf-HC5HC2H_2
Esil_CBJ30479	PHD PHD
Esil_CBJ31005	HMG_box_2 PHD
Esil_CBJ31249	PHD Nipped-B_C
Esil_CBJ31608	PHD DOT1
Esil_CBJ31848	PHD_2 zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2 Bromodomain
Esil_CBJ32436	PHD
Esil_CBJ33296	PHD
Esil_CBJ33572	zf-HC5HC2H_2 PHD
Esil_CBJ48429	PHD
Esil_CBJ48555	PHD
Esil_CBJ48999	PHD Bromodomain SET
Esil_CBJ49286	Bromodomain
Esil_CBN73787	PHD
Esil_CBN74374	PWWP Bromodomain PHD zf-HC5HC2H_2 FYRN FYRC SET
Esil_CBN74545	PHD
Esil_CBN74814	AWS SET PHD
Esil_CBN76246	Helicase_C_4 PHD
Esil_CBN76618	PHD
Esil_CBN77402	PWWP PHD
Esil_CBN79349	FYRN PHD zf-CXXC WHIM1 WSD Bromodomain
Esil_CBN79746	JmjN ARID PHD JmjC
Esil_CBN80493	PHD
Exapal_XP_020892809.1	PHD JHD
Exapal_XP_020893351.1	PHD zf-C2HC zf-MYST MOZ_SAS
Exapal_XP_020893473.1	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2
Exapal_XP_020894880.1	PHD
Exapal_XP_020894888.1	AT_hook PHD
Exapal_XP_020894915.1	DDT WHIM1 WSD PHD PHD Bromodomain
Exapal_XP_020895516.1	Tudor-knot PHD
Exapal_XP_020896058.1	PHD PHF12_MRG_bd PHD FHA
Exapal_XP_020896612.1	zf-RING_UBOX zf-B_box zf-B_box PHD Bromodomain
Exapal_XP_020896613.1	zf-RING_UBOX zf-B_box zf-B_box PHD Bromodomain
Exapal_XP_020897413.1	PHD
Exapal_XP_020897472.1	PHD SAM_1
Exapal_XP_020897473.1	PHD SAM_1
Exapal_XP_020902405.2	PHD
Exapal_XP_020903622.2	zf-CXXC PHD zf-HC5HC2H FYRN FYRC SET
Exapal_XP_020903929.1	PHD
Exapal_XP_020903930.1	PHD
Exapal_XP_020906117.1	PHD zf-C2HC zf-MYST zf-MYST MOZ_SAS
Exapal_XP_020906983.1	PHD
Exapal_XP_020907089.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Exapal_XP_020907559.1	MH1 MH1 zf-HC5HC2H_2 PHD PHD
Exapal_XP_020907863.1	YqaJ PHD
Exapal_XP_020908756.1	PHD zf-CXXC zf-CpG_bind_C
Exapal_XP_020909097.1	Bromo_TP PHD
