Orthogroup	Orthogroup annotation	Gene family	Gene type	Num genes	Num species	Num lineages	LECA presence probability	LECA presence support	Closest homologs in...	Closest homologs score	Consensus architecture	Hsap symbol	Dmel symbol	Scer symbol	Atha symbol
ING.HG1.3	like:ING1/ING2/ING3/ING4/ING5	ING	Readers	8	7	1	0.010	NA	Other eukaryotic	1.000	ING	NA	NA	NA	NA
MBT.HG1.2	AL031681.3/L3MBTL1/L3MBTL2/L3MBTL3/L3MBTL4/MBTD1/SCMH1/SCML2/SFMBT1/SFMBT2	MBT	Readers	214	47	3	0.932	AmorCRUM,Diaphoratickes	Other eukaryotic	1.000	MBT,SLED,SAM_1	L3MBTL2,SCML2,SCMH1,L3MBTL3,SFMBT2,SFMBT1,L3MBTL4,L3MBTL1,MBTD1,AL031681.3	Scm,l(3)mbt,Sfmbt	NA	NA
MBT.HG1.0	like:PHF20L1	MBT	Readers	7	6	3	0.026	NA	Other eukaryotic	1.000	MBT	NA	NA	NA	NA
MBT.HG1.1	PHF20L1	MBT	Readers	25	19	2	0.033	NA	Other eukaryotic	1.000	No consensus	PHF20L1	NA	NA	NA
MBT.HG1.5	like:AL031681.3/L3MBTL1/L3MBTL2/L3MBTL3/L3MBTL4/MBTD1/SCMH1/SCML2/SFMBT1/SFMBT2	MBT	Readers	1	1	1	0.004	NA	Other eukaryotic	1.000	MBT	NA	NA	NA	NA
MBT.HG1.3	like:PHF20L1	MBT	Readers	1	1	1	0.002	NA	Other eukaryotic	1.000	MBT,OTU,UIM	NA	NA	NA	NA
MBT.HG1.4	like:AL031681.3/L3MBTL1/L3MBTL2/L3MBTL3/L3MBTL4/MBTD1/SCMH1/SCML2/SFMBT1/SFMBT2	MBT	Readers	1	1	1	0.000	NA	Other eukaryotic	1.000	MBT	NA	NA	NA	NA
MRG.HG1.1	MORF4L1/MORF4L2/MSL3	MRG	Readers	247	147	11	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	NA	NA	Tudor-knot,MRG	MSL3,MORF4L1,MORF4L2	msl-3,MRG15	EAF3	MRG2,MRG1
MRG.HG1.0	like:MORF4L1/MORF4L2/MSL3	MRG	Readers	8	7	4	0.019	NA	NA	NA	Tudor-knot,MRG	NA	NA	NA	NA
PHD.HG1.1	CXXC1/DIDO1/PHF3	PHD	Readers	252	114	10	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Meteor	NA	NA	PHD	PHF3,DIDO1,CXXC1	Cfp1,CG17440,CG3347,pps	SPP1	NA
PHD.HG4.5	BAZ1A/BAZ1B/BAZ2A/BAZ2B	PHD	Readers	190	81	10	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Meteor	NA	NA	No consensus	BAZ1B,BAZ1A,BAZ2B,BAZ2A	Acf,tou	NA	NA
PHD.HG7.3	KMT2E	PHD	Readers	78	65	9	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Malawimonadidae,Metamonada,Meteor	NA	NA	PHD,SET	KMT2E	upSET	SET4,SET3	NA
PHD.HG10.3	like:TAF3	PHD	Readers	45	39	9	1.000	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae,Meteor	NA	NA	ING,PHD	NA	NA	NA	NA
PHD.HG17.0	NA	PHD	Readers	48	37	8	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae,Meteor	NA	NA	PHD,Cohesin_HEAT,Nipped-B_C	NA	NA	NA	NA
PHD.HG8.2	KDM4A/KDM4B/KDM4C/KDM5A/KDM5B/KDM5C/KDM5D	PHD	Readers	150	76	7	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Meteor	NA	NA	JmjN,ARID,PHD,JmjC,zf-C5HC2,PLU-1	KDM5B,KDM4A,KDM5C,KDM4C,KDM5A,KDM4B,KDM5D	lid	JHD2,ECM5	NA
PHD.HG5.4	KMT2A/KMT2B/KMT2C/KMT2D	PHD	Readers	126	68	7	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Hemimastigophora	NA	NA	No consensus	KMT2C,KMT2D,KMT2B,KMT2A	Lpt,trx	NA	NA
PHD.HG4.2	like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	61	41	7	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae	NA	NA	zf-RING_2,PHD	NA	NA	NA	NA
PHD.HG8.1	like:KDM4A/KDM4B/KDM4C/KDM5A/KDM5B/KDM5C/KDM5D	PHD	Readers	70	59	7	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Malawimonadidae	NA	NA	JmjN,ARID,PHD,JmjC,zf-C5HC2,PLU-1	NA	NA	NA	NA
PHD.HG2.18	JADE1/JADE2/JADE3	PHD	Readers	63	50	7	0.997	AmorCRUM,Ancyromonadida,Meteor	NA	NA	EPL1,PHD_2,zf-HC5HC2H_2	JADE1,JADE2,JADE3	rno	NA	NA
PHD.HG7.0	PHF13/PHF23	PHD	Readers	137	74	6	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba	NA	NA	PHD	PHF23,PHF13	NA	NA	MMD1
PHD.HG5.6	like:KMT2A/KMT2B/KMT2C/KMT2D	PHD	Readers	41	37	6	1.000	AmorCRUM,Ancyromonadida,Hemimastigophora,Malawimonadidae	NA	NA	PHD	NA	NA	NA	NA
PHD.HG3.4	AC006064.6/CHD3/CHD4/CHD5	PHD	Readers	90	58	6	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes	NA	NA	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	CHD5,CHD3,AC006064.6,CHD4	Chd3,Mi-2	NA	PKL
PHD.HG6.0	like:DPF1/DPF2/KAT6A/KAT6B/PHF10	PHD	Readers	26	22	6	0.999	AmorCRUM,Diaphoratickes,Malawimonadidae	NA	NA	PHD	NA	NA	NA	NA
PHD.HG6.2	like:DPF1/DPF2/KAT6A/KAT6B/PHF10	PHD	Readers	11	10	6	0.937	AmorCRUM,Discoba,Malawimonadidae,Meteor	NA	NA	PHD	NA	NA	NA	NA
PHD.HG3.15	PHF21A/PHF21B	PHD	Readers	49	37	5	1.000	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae	NA	NA	PHD	PHF21B,PHF21A	NA	NA	NA
PHD.HG5.1	like:KMT2A/KMT2B/KMT2C/KMT2D	PHD	Readers	31	28	5	0.998	AmorCRUM,Ancyromonadida,Diaphoratickes	NA	NA	No consensus	NA	NA	NA	NA
PHD.HG3.19	like:PHF12/PHF21A/PHF21B	PHD	Readers	16	15	5	0.993	AmorCRUM,Diaphoratickes,Meteor	NA	NA	PHD	NA	NA	NA	NA
PHD.HG2.19	BRD1/BRPF1/BRPF3	PHD	Readers	97	80	5	0.991	AmorCRUM,Ancyromonadida,Meteor	NA	NA	EPL1,PHD_2,zf-HC5HC2H_2,Bromodomain,PWWP	BRPF3,BRD1,BRPF1	Br140	NTO1	NA
PHD.HG3.9	like:AIRE/PHF12/PHF21A/PHF21B	PHD	Readers	79	27	5	0.986	AmorCRUM,Ancyromonadida,Diaphoratickes	NA	NA	Jas,PHD	NA	NA	NA	IDM1
PHD.HG2.8	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	13	11	5	0.965	AmorCRUM,Discoba,Malawimonadidae,Meteor	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG12.1	MTF2/PHF1/PHF19	PHD	Readers	89	55	5	0.964	AmorCRUM	NA	NA	PHD	MTF2,PHF1,PHF19	NA	NA	NA
PHD.HG8.0	like:KDM4A/KDM4B/KDM4C/KDM5A/KDM5B/KDM5C/KDM5D	PHD	Readers	12	12	5	0.794	NA	NA	NA	No consensus	NA	NA	NA	NA
PHD.HG19.0	NA	PHD	Readers	32	13	5	0.771	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG3.8	AIRE	PHD	Readers	10	10	5	0.607	NA	NA	NA	PHD	AIRE	NA	NA	NA
PHD.HG5.3	like:KMT2A/KMT2B/KMT2C/KMT2D	PHD	Readers	6	6	5	0.339	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG4.3	like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	19	18	5	0.092	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG1.5	like:FBXL19/KDM2A/KDM2B/KDM7A/PHF2/PHF8	PHD	Readers	118	34	4	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes	NA	NA	BAH,PHD	NA	NA	NA	EBS,SHL
PHD.HG4.8	SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	59	34	4	0.999	AmorCRUM,Diaphoratickes,Malawimonadidae	NA	NA	PHD,Bromodomain,PWWP	TRIM28,TRIM24,TRIM33,SP140L,TRIM66	bon	NA	NA
PHD.HG3.1	like:AC006064.6/CHD3/CHD4/CHD5	PHD	Readers	23	14	4	0.995	AmorCRUM,Diaphoratickes,Malawimonadidae	NA	NA	PHD,SNF2_N,Helicase_C	NA	NA	NA	NA
PHD.HG3.2	like:AC006064.6/CHD3/CHD4/CHD5	PHD	Readers	23	16	4	0.985	AmorCRUM,Diaphoratickes,Malawimonadidae	NA	NA	No consensus	NA	NA	NA	NA
PHD.HG3.21	like:PHF12/PHF21A/PHF21B	PHD	Readers	17	16	4	0.980	AmorCRUM,Diaphoratickes,Malawimonadidae	NA	NA	PHD	NA	NA	NA	NA
PHD.HG3.18	like:PHF12/PHF21A/PHF21B	PHD	Readers	15	14	4	0.964	AmorCRUM,Diaphoratickes,Discoba	NA	NA	PHD	NA	NA	NA	NA
PHD.HG14.0	like:UHRF1/UHRF2	PHD	Readers	22	19	4	0.961	AmorCRUM,Diaphoratickes	NA	NA	PHD	NA	NA	NA	NA
PHD.HG16.1	NA	PHD	Readers	53	37	4	0.961	AmorCRUM,Ancyromonadida,Diaphoratickes,Malawimonadidae	NA	NA	PHD,Homeodomain	NA	NA	NA	HAT3.1,PRH
PHD.HG3.13	like:PHF12/PHF21A/PHF21B	PHD	Readers	15	12	4	0.953	AmorCRUM,Ancyromonadida,Diaphoratickes	NA	NA	PHD	NA	NA	NA	NA
PHD.HG4.4	like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	38	24	4	0.951	AmorCRUM,Diaphoratickes	NA	NA	PHD	NA	NA	NA	ATXR5,ATXR6
PHD.HG18.0	NA	PHD	Readers	45	28	4	0.892	NA	NA	NA	zf-TAZ,PHD,HAT_KAT11,ZZ	NA	NA	NA	HAC2
PHD.HG2.16	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	4	4	4	0.880	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG3.14	like:PHF12/PHF21A/PHF21B	PHD	Readers	14	14	4	0.831	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG3.17	like:PHF12/PHF21A/PHF21B	PHD	Readers	7	6	4	0.385	NA	NA	NA	Bromodomain,PHD	NA	NA	NA	NA
PHD.HG4.14	like:SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	6	5	4	0.369	NA	NA	NA	PHD,Bromodomain	NA	NA	NA	NA
PHD.HG2.11	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	8	6	4	0.364	NA	NA	NA	PHD_2	NA	NA	NA	NA
PHD.HG2.12	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	13	13	4	0.150	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG2.1	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3/MLLT6/MLLT10/PHF14	PHD	Readers	7	7	4	0.114	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG5.5	like:KMT2A/KMT2B/KMT2C/KMT2D	PHD	Readers	10	8	4	0.018	NA	NA	NA	AWS,SET,PHD	NA	NA	NA	NA
PHD.HG13.0	NA	PHD	Readers	103	33	3	0.993	AmorCRUM,Diaphoratickes	NA	NA	Alfin,PHD	NA	NA	NA	AL7,AL6,AL2,AL3,AL1,AL5,AL4
PHD.HG14.1	UHRF1/UHRF2	PHD	Readers	58	47	3	0.877	NA	NA	NA	ubiquitin,TTD,PHD,SAD_SRA	UHRF2,UHRF1	NA	NA	NA
PHD.HG3.6	like:AIRE/PHF12/PHF21A/PHF21B	PHD	Readers	8	7	3	0.787	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG1.4	FBXL19/KDM2A/KDM2B/KDM7A/PHF2/PHF8	PHD	Readers	98	49	3	0.651	NA	NA	NA	PHD,JmjC,JHD	PHF8,PHF2,KDM2B,FBXL19,KDM7A,KDM2A	Kdm2	NA	NA
PHD.HG15.1	like:RSF1	PHD	Readers	31	22	3	0.510	NA	NA	NA	No consensus	NA	NA	NA	MBD9
PHD.HG5.2	like:KMT2A/KMT2B/KMT2C/KMT2D	PHD	Readers	76	26	3	0.484	NA	NA	NA	No consensus	NA	NA	NA	ATX2,ATX1,ATX3,ATX4,ATX5
PHD.HG2.6	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	5	4	3	0.309	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG4.12	like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	7	7	3	0.286	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG2.10	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	9	8	3	0.277	NA	NA	NA	EPL1,PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG4.7	like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	18	14	3	0.204	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG1.0	like:BPTF	PHD	Readers	17	13	3	0.073	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG7.1	like:KMT2E/PHF13/PHF23	PHD	Readers	8	8	3	0.036	NA	NA	NA	PHD	NA	NA	BYE1	NA
PHD.HG2.20	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	9	6	3	0.032	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG3.20	like:PHF12/PHF21A/PHF21B	PHD	Readers	12	8	3	0.030	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG15.0	RSF1	PHD	Readers	27	25	3	0.024	NA	NA	NA	PHD	RSF1	NA	NA	NA
PHD.HG4.1	like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	7	6	3	0.022	NA	NA	NA	zf-RING_2,PHD	NA	NA	NA	NA
PHD.HG6.3	like:DPF1/DPF2/KAT6A/KAT6B/PHF10	PHD	Readers	43	29	3	0.021	NA	NA	NA	PHD,SAM_1	NA	NA	NA	NA
PHD.HG7.2	like:KMT2E	PHD	Readers	22	19	3	0.014	NA	NA	NA	PHD	NA	NA	CTI6	NA
PHD.HG3.3	like:AC006064.6/CHD3/CHD4/CHD5	PHD	Readers	9	7	3	0.011	NA	NA	NA	PHD,Chromo,SNF2_N,Helicase_C	NA	NA	NA	NA
PHD.HG9.0	NA	PHD	Readers	30	7	3	0.011	NA	NA	NA	No consensus	NA	NA	NA	NA
PHD.HG26.0	NA	PHD	Readers	11	6	3	0.003	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG2.17	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	57	23	3	0.000	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG9.1	NA	PHD	Readers	152	20	3	0.000	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG6.4	PHF10	PHD	Readers	35	32	2	0.810	NA	NA	NA	PHD	PHF10	NA	NA	NA
PHD.HG3.16	like:PHF12/PHF21A/PHF21B	PHD	Readers	4	4	2	0.762	NA	NA	NA	Chromo,Bromodomain,PHD,zf-CCHC	NA	NA	NA	NA
PHD.HG2.15	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	37	24	2	0.589	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG3.12	PHF12	PHD	Readers	69	58	2	0.444	NA	NA	NA	PHD	PHF12	CG3815	RCO1	NA
PHD.HG2.13	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	3	3	2	0.195	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG2.21	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	13	11	2	0.178	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG2.5	PHF14	PHD	Readers	55	46	2	0.176	NA	NA	NA	PHD,zf-HC5HC2H_2	PHF14	CG15439	NA	NA
PHD.HG2.4	MLLT6/MLLT10	PHD	Readers	46	36	2	0.110	NA	NA	NA	PHD_2,zf-HC5HC2H_2	MLLT10,MLLT6	Alh	NA	NA
PHD.HG21.0	NA	PHD	Readers	28	22	2	0.108	NA	NA	NA	PHD,BAH,AAA,AAA_lid_10	NA	NA	NA	ORC1B,ORC1A
PHD.HG6.1	like:DPF1/DPF2/KAT6A/KAT6B/PHF10	PHD	Readers	3	3	2	0.078	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG2.2	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3/MLLT6/MLLT10/PHF14	PHD	Readers	3	2	2	0.060	NA	NA	NA	Chromo,PHD,Prim_Zn_Ribbon	NA	NA	NA	NA
PHD.HG4.13	like:SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	3	3	2	0.052	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG23.1	NA	PHD	Readers	10	8	2	0.042	NA	NA	NA	AAA_34,PHD,Helicase_C_4	NA	NA	NA	FGT1
PHD.HG3.5	like:AIRE/PHF12/PHF21A/PHF21B	PHD	Readers	2	2	2	0.037	NA	NA	NA	DnaJ,PHD	NA	NA	NA	NA
PHD.HG25.0	NA	PHD	Readers	13	8	2	0.026	NA	NA	NA	PHD,zf-MIZ	NA	NA	NA	NA
PHD.HG4.0	PHRF1	PHD	Readers	31	28	2	0.021	NA	NA	NA	zf-RING_2,PHD	PHRF1	CG2926	NA	NA
PHD.HG2.9	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	6	4	2	0.016	NA	NA	NA	PHD_2,zf-HC5HC2H_2,SET	NA	NA	NA	NA
PHD.HG2.7	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	10	8	2	0.013	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG11.1	like:PYGO1/PYGO2	PHD	Readers	36	7	2	0.011	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG2.14	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3	PHD	Readers	4	2	2	0.010	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG3.11	like:AC006064.6/CHD3/CHD4/CHD5	PHD	Readers	15	13	2	0.009	NA	NA	NA	PWWP,PHD,Chromo,SNF2_N,Helicase_C,DUF1087	NA	NA	NA	CHR4
PHD.HG10.0	like:TAF3	PHD	Readers	2	2	2	0.004	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG4.11	like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	4	4	2	0.002	NA	NA	NA	PTCB-BRCT,BRCT,PHD	NA	NA	NA	NA
PHD.HG5.0	like:KMT2A/KMT2B/KMT2C/KMT2D	PHD	Readers	3	3	2	0.002	NA	NA	NA	PHD,Bromodomain,SET	NA	NA	NA	NA
PHD.HG3.0	like:AIRE/PHF12/PHF21A/PHF21B	PHD	Readers	6	5	2	0.002	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG4.9	like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	3	3	2	0.001	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG4.10	like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	10	9	2	0.001	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG4.6	like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66	PHD	Readers	3	3	2	0.001	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG2.0	like:BRD1/BRPF1/BRPF3/JADE1/JADE2/JADE3/MLLT6/MLLT10/PHF14	PHD	Readers	34	25	2	0.000	NA	NA	NA	No consensus	NA	NA	SNT2	NA
PHD.HG6.7	like:KAT6A/KAT6B	PHD	Readers	31	28	1	0.164	NA	NA	NA	PHD,zf-MYST,MOZ_SAS	NA	NA	NA	NA
PHD.HG23.0	NA	PHD	Readers	4	4	1	0.088	NA	NA	NA	AAA_34,PHD,Helicase_C_4	NA	NA	NA	NA
PHD.HG3.10	like:AC006064.6/CHD3/CHD4/CHD5	PHD	Readers	6	6	1	0.076	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG6.6	DPF1/DPF2	PHD	Readers	62	39	1	0.073	NA	NA	NA	Requiem_N,PHD	DPF2,DPF1	d4	NA	NA
PHD.HG11.2	PYGO1/PYGO2	PHD	Readers	43	30	1	0.066	NA	NA	NA	PHD	PYGO1,PYGO2	NA	NA	NA
PHD.HG2.3	like:MLLT6/MLLT10/PHF14	PHD	Readers	6	6	1	0.054	NA	NA	NA	PHD_2,zf-HC5HC2H_2	NA	NA	NA	NA
PHD.HG10.2	TAF3	PHD	Readers	43	36	1	0.034	NA	NA	NA	PHD	TAF3	bip2	NA	NA
PHD.HG16.0	NA	PHD	Readers	3	3	1	0.019	NA	NA	NA	Bromodomain,PHD,Acetyltransf_7	NA	NA	NA	NA
PHD.HG24.0	NA	PHD	Readers	13	5	1	0.018	NA	NA	NA	AP2,PHD	NA	NA	NA	NA
PHD.HG6.8	KAT6A/KAT6B	PHD	Readers	44	31	1	0.006	NA	NA	NA	PHD,zf-MYST,MOZ_SAS	KAT6B,KAT6A	NA	NA	NA
PHD.HG11.0	like:PYGO1/PYGO2	PHD	Readers	44	12	1	0.005	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG1.3	BPTF	PHD	Readers	44	30	1	0.005	NA	NA	NA	PHD,Bromodomain	BPTF	E(bx)	NA	NA
PHD.HG6.5	like:DPF1/DPF2	PHD	Readers	3	3	1	0.003	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG10.4	like:TAF3	PHD	Readers	7	6	1	0.002	NA	NA	NA	YqaJ,PHD	NA	NA	NA	NA
PHD.HG20.0	ASXL1/ASXL2/ASXL3	PHD	Readers	29	20	1	0.002	NA	NA	NA	HARE-HTH,ASXH,PHD_3	ASXL3,ASXL1,ASXL2	Asx	NA	NA
PHD.HG3.22	like:AIRE	PHD	Readers	1	1	1	0.001	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG10.1	like:TAF3	PHD	Readers	12	3	1	0.001	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG10.7	like:TAF3	PHD	Readers	7	4	1	0.001	NA	NA	NA	YqaJ,PHD	NA	NA	NA	NA
PHD.HG10.5	like:TAF3	PHD	Readers	5	1	1	0.001	NA	NA	NA	YqaJ,PHD	NA	NA	NA	NA
PHD.HG3.7	like:AC006064.6/CHD3/CHD4/CHD5	PHD	Readers	5	3	1	0.001	NA	NA	NA	PWWP,PHD,Chromo,SNF2_N,DUF1087	NA	NA	NA	NA
PHD.HG12.0	INTS12	PHD	Readers	28	28	1	0.001	NA	NA	NA	PHD	INTS12	IntS12	NA	NA
PHD.HG10.6	like:TAF3	PHD	Readers	4	1	1	0.001	NA	NA	NA	YqaJ,PHD	NA	NA	NA	NA
PHD.HG1.2	like:BPTF	PHD	Readers	3	3	1	0.000	NA	NA	NA	DDT,PHD	NA	NA	NA	NA
PHD.HG10.9	like:TAF3	PHD	Readers	1	1	1	0.000	NA	NA	NA	YqaJ,PHD	NA	NA	NA	NA
PHD.HG11.3	like:PYGO1/PYGO2	PHD	Readers	1	1	1	0.000	NA	NA	NA	PHD,EMC3_TMCO1	NA	NA	NA	NA
PHD.HG10.8	like:TAF3	PHD	Readers	1	1	1	0.000	NA	NA	NA	PHD	NA	NA	NA	NA
PHD.HG22.0	NA	PHD	Readers	16	1	1	0.000	NA	NA	NA	PHD	NA	NA	NA	NA
PWWP.HG1.8	AC098650.1/GLYR1/HDGFL1/HDGFL2/HDGFL3/MSH6/PSIP1/PWWP2A/PWWP2B/PWWP3B/ZCWPW1/ZCWPW2	PWWP	Readers	393	130	11	1.000	NA	Other eukaryotic	1.000	PWWP	MSH6,HDGFL3,PWWP2A,PWWP2B,GLYR1,PWWP3B,PSIP1,ZCWPW2,ZCWPW1,HDGFL1,HDGFL2,AC098650.1	CG7946,Ndf	PDP3,IOC4	NA
PWWP.HG1.10	like:AC098650.1/BRD1/BRPF1/BRPF3/GLYR1/HDGFL1/HDGFL2/HDGFL3/MBD5/MSH6/PSIP1/PWWP2A/PWWP2B/PWWP3B/ZCWPW1/ZCWPW2/ZMYND8/ZMYND11	PWWP	Readers	24	19	4	0.997	AmorCRUM,Diaphoratickes,Discoba	Other eukaryotic	1.000	PWWP	NA	NA	NA	NA
PWWP.HG1.2	NSD1/NSD2/NSD3	PWWP	Readers	66	48	4	0.857	NA	Other eukaryotic	1.000	PWWP,AWS,SET,C5HCH	NSD3,NSD2,NSD1	NSD	NA	NA
PWWP.HG1.9	like:AC098650.1/BRD1/BRPF1/BRPF3/GLYR1/HDGFL1/HDGFL2/HDGFL3/MBD5/MSH6/PSIP1/PWWP2A/PWWP2B/PWWP3B/ZCWPW1/ZCWPW2/ZMYND8/ZMYND11	PWWP	Readers	9	9	4	0.651	NA	Other eukaryotic	1.000	PWWP	NA	CG8569	NA	NA
PWWP.HG1.0	like:AC098650.1/BRD1/BRPF1/BRPF3/DNMT3A/DNMT3B/GLYR1/HDGFL1/HDGFL2/HDGFL3/MBD5/MSH6/NSD1/NSD2/NSD3/PSIP1/PWWP2A/PWWP2B/PWWP3B/ZCWPW1/ZCWPW2/ZMYND8/ZMYND11	PWWP	Readers	62	24	4	0.453	NA	Other eukaryotic	1.000	PWWP,FYRN,FYRC,PHD_2,zf-HC5HC2H_2,SET	NA	NA	NA	ATX2,ATX1,ATX3,ATX4,ATX5
PWWP.HG1.4	like:AC098650.1/BRD1/BRPF1/BRPF3/GLYR1/HDGFL1/HDGFL2/HDGFL3/MBD5/MSH6/PSIP1/PWWP2A/PWWP2B/PWWP3B/ZCWPW1/ZCWPW2/ZMYND8/ZMYND11	PWWP	Readers	14	11	4	0.394	NA	Other eukaryotic	1.000	PWWP,PHD,Bromodomain	NA	NA	NA	NA
